ts,o,h,l,c,v
1787095680000,64729.1,64729.2,64729.1,64729.2,0.043674
1787095740000,64729.2,64729.2,64723.0,64723.0,0.742744
1787095800000,64723.0,64723.1,64723.0,64723.1,0.030132
1787095860000,64723.1,64723.1,64723.0,64723.1,0.004263
1787095920000,64723.1,64735.6,64723.1,64735.6,2.450629
1787095980000,64735.6,64735.6,64735.5,64735.5,0.293058
1787096040000,64735.5,64755.7,64735.5,64755.7,1.908267
1787096100000,64755.7,64758.8,64755.7,64758.7,0.3699
1787096160000,64758.7,64758.8,64749.9,64753.2,2.221734
1787096220000,64753.2,64753.2,64753.1,64753.1,0.094498
1787096280000,64753.1,64753.2,64753.1,64753.1,0.088398
1787096340000,64753.1,64753.2,64753.1,64753.1,0.022345
1787096400000,64753.1,64753.2,64753.1,64753.2,0.021615
1787096460000,64753.2,64753.2,64753.1,64753.1,0.320754
1787096520000,64753.1,64762.2,64753.1,64762.2,1.403934
1787096580000,64762.2,64779.4,64762.2,64777.4,3.247049
1787096640000,64777.4,64777.4,64772.2,64772.3,2.51982
1787096700000,64772.3,64772.3,64751.4,64751.4,4.591531
1787096760000,64751.4,64797.8,64751.0,64780.8,11.165992
1787096820000,64780.8,64780.8,64742.5,64742.6,4.973978
1787096880000,64742.6,64744.9,64740.6,64744.9,1.84097
1787096940000,64744.9,64756.4,64744.9,64756.4,1.290826
1787097000000,64756.4,64760.0,64756.4,64760.0,0.269526
1787097060000,64760.0,64760.0,64739.1,64739.1,5.093553
1787097120000,64739.1,64744.5,64739.1,64744.4,1.448681
1787097180000,64744.4,64749.5,64744.4,64749.5,0.621642
1787097240000,64749.5,64749.6,64743.8,64743.8,1.400321
1787097300000,64743.8,64743.8,64740.5,64740.5,0.649908
1787097360000,64740.5,64740.5,64727.0,64727.1,0.794286
1787097420000,64727.1,64729.2,64727.0,64729.1,0.743915
1787097480000,64729.1,64729.2,64726.2,64726.2,0.514311
1787097540000,64726.2,64726.2,64725.9,64726.0,0.511621
1787097600000,64726.0,64738.4,64726.0,64738.4,3.586345
1787097660000,64738.4,64738.4,64698.9,64703.6,10.304089
1787097720000,64703.6,64709.1,64700.5,64701.6,5.175569
1787097780000,64701.6,64701.6,64668.7,64668.7,3.249641
1787097840000,64668.7,64668.7,64629.3,64635.5,10.155382
1787097900000,64635.5,64639.7,64620.6,64621.3,6.26075
1787097960000,64621.3,64621.3,64596.7,64611.5,9.181928
1787098020000,64611.5,64638.3,64611.5,64638.3,2.924763
1787098080000,64638.3,64655.5,64638.3,64655.5,1.484247
1787098140000,64655.5,64655.5,64635.1,64635.1,8.13232
1787098200000,64635.1,64635.1,64620.5,64620.5,4.002776
1787098260000,64620.5,64620.5,64599.6,64606.9,6.365496
1787098320000,64606.9,64607.0,64586.3,64589.7,3.951715
