ts,o,h,l,c,v
1787095680000,0.07029,0.07029,0.07028,0.07028,2062.5
1787095740000,0.07028,0.07028,0.07027,0.07027,2304.3
1787095800000,0.07027,0.07027,0.07026,0.07026,25276.7
1787095860000,0.07026,0.07027,0.07026,0.07026,15157.3
1787095920000,0.07026,0.07027,0.07026,0.07027,17934.3
1787095980000,0.07027,0.07027,0.07026,0.07026,263.0
1787096040000,0.07026,0.07027,0.07026,0.07027,7012.5
1787096100000,0.07027,0.07029,0.07027,0.07029,6674.7
1787096160000,0.07029,0.07029,0.07029,0.07029,0.0
1787096220000,0.07029,0.07029,0.07028,0.07028,2929.1
1787096280000,0.07028,0.07028,0.07028,0.07028,0.0
1787096340000,0.07028,0.07028,0.07028,0.07028,0.0
1787096400000,0.07028,0.07028,0.07028,0.07028,0.0
1787096460000,0.07028,0.07028,0.07028,0.07028,0.0
1787096520000,0.07028,0.07028,0.07028,0.07028,0.0
1787096580000,0.07028,0.0703,0.07028,0.0703,7029.8
1787096640000,0.0703,0.0703,0.07028,0.07028,56462.3
1787096700000,0.07028,0.07028,0.07028,0.07028,1067.0
1787096760000,0.07028,0.07029,0.07027,0.07029,26039.2
1787096820000,0.07029,0.07029,0.07026,0.07027,7910.6
1787096880000,0.07027,0.07027,0.07025,0.07026,12949.0
1787096940000,0.07026,0.07027,0.07026,0.07027,2892.5
1787097000000,0.07027,0.07027,0.07026,0.07026,150.0
1787097060000,0.07026,0.07026,0.07026,0.07026,0.0
1787097120000,0.07026,0.07027,0.07026,0.07027,10954.2
1787097180000,0.07027,0.07028,0.07027,0.07028,156.0
1787097240000,0.07028,0.07028,0.07027,0.07027,14846.7
1787097300000,0.07027,0.07027,0.07027,0.07027,0.0
1787097360000,0.07027,0.07027,0.07027,0.07027,0.0
1787097420000,0.07027,0.07027,0.07027,0.07027,0.0
1787097480000,0.07027,0.07027,0.07027,0.07027,0.0
1787097540000,0.07027,0.07027,0.07026,0.07026,7177.3
1787097600000,0.07026,0.07028,0.07026,0.07027,11746.1
1787097660000,0.07027,0.07027,0.07022,0.07022,102662.6
1787097720000,0.07022,0.07022,0.07021,0.07021,9791.2
1787097780000,0.07021,0.07021,0.07021,0.07021,0.0
1787097840000,0.07021,0.07021,0.07019,0.07019,2642.8
1787097900000,0.07019,0.07019,0.07017,0.07017,8904.5
1787097960000,0.07017,0.07018,0.07016,0.07018,11325.6
1787098020000,0.07018,0.0702,0.07018,0.0702,33045.1
1787098080000,0.0702,0.07023,0.0702,0.07023,17650.9
1787098140000,0.07023,0.07023,0.07022,0.07022,6483.0
1787098200000,0.07022,0.07022,0.0702,0.0702,13568.9
1787098260000,0.0702,0.0702,0.07018,0.07018,2933.1
1787098320000,0.07018,0.07018,0.07017,0.07017,1068.8
1787098380000,0.07017,0.07017,0.07017,0.07017,0.0
1787098440000,0.07017,0.07017,0.07016,0.07016,1068.9
1787098500000,0.07016,0.07016,0.07009,0.07009,20176.0
1787098560000,0.07009,0.07009,0.07007,0.07009,29296.7
1787098620000,0.07009,0.07011,0.07009,0.07011,11348.1
1787098680000,0.07011,0.07011,0.07011,0.07011,4649.0
1787098740000,0.07011,0.07011,0.07011,0.07011,0.0
1787098800000,0.07011,0.07011,0.0701,0.0701,10649.2
1787098860000,0.0701,0.07011,0.0701,0.07011,61516.3
1787098920000,0.07011,0.07014,0.07011,0.07014,16221.4
1787098980000,0.07014,0.07014,0.07013,0.07013,10781.7
1787099040000,0.07013,0.07013,0.07009,0.0701,10463.7
1787099100000,0.0701,0.0701,0.07008,0.07008,6743.5
1787099160000,0.07008,0.07008,0.07007,0.07007,1070.3
1787099220000,0.07007,0.07007,0.07005,0.07005,2142.6
1787099280000,0.07005,0.07005,0.07005,0.07005,0.0
1787099340000,0.07005,0.07005,0.07005,0.07005,0.0
1787099400000,0.07005,0.07005,0.07004,0.07005,40681.1
1787099460000,0.07005,0.07005,0.07005,0.07005,0.0
1787099520000,0.07005,0.07005,0.07005,0.07005,0.0
1787099580000,0.07005,0.0701,0.07005,0.0701,43019.3
1787099640000,0.0701,0.07011,0.07009,0.07009,1728.0
1787099700000,0.07009,0.07009,0.07009,0.07009,0.0
1787099760000,0.07009,0.07009,0.07009,0.07009,0.0
1787099820000,0.07009,0.07009,0.07007,0.07007,21502.7
