ts,o,h,l,c,v
1787095680000,1919.2,1919.2,1919.06,1919.06,6.36488
1787095740000,1919.06,1919.06,1918.7,1918.7,9.3467
1787095800000,1918.7,1919.06,1918.7,1919.06,1.32336
1787095860000,1919.06,1919.06,1919.05,1919.06,0.5623
1787095920000,1919.06,1919.47,1919.06,1919.1,107.9992
1787095980000,1919.1,1919.21,1919.1,1919.21,10.8606
1787096040000,1919.21,1919.86,1919.21,1919.81,8.73281
1787096100000,1919.81,1920.41,1919.81,1919.99,42.54074
1787096160000,1919.99,1919.99,1919.49,1919.83,14.76973
1787096220000,1919.83,1919.84,1919.32,1919.32,15.64814
1787096280000,1919.32,1919.38,1919.26,1919.3,1.54563
1787096340000,1919.3,1919.33,1919.19,1919.19,22.39585
1787096400000,1919.19,1919.2,1919.19,1919.2,0.19309
1787096460000,1919.2,1919.2,1919.19,1919.2,1.10985
1787096520000,1919.2,1919.43,1919.03,1919.43,21.45408
1787096580000,1919.43,1919.86,1919.43,1919.86,13.44114
1787096640000,1919.86,1920.01,1919.57,1919.57,14.54871
1787096700000,1919.57,1919.57,1919.27,1919.27,11.01232
1787096760000,1919.27,1920.07,1919.27,1920.01,21.58978
1787096820000,1920.01,1920.01,1918.81,1918.85,25.16525
1787096880000,1918.85,1919.98,1918.56,1919.98,87.8736
1787096940000,1919.98,1920.37,1919.7,1919.89,53.31646
1787097000000,1919.89,1919.9,1919.85,1919.9,1.67952
1787097060000,1919.9,1919.9,1919.54,1919.54,16.97023
1787097120000,1919.54,1919.78,1919.54,1919.78,0.70563
1787097180000,1919.78,1919.82,1919.63,1919.63,1.98366
1787097240000,1919.63,1919.65,1919.33,1919.33,7.11365
1787097300000,1919.33,1919.33,1919.24,1919.28,4.51133
1787097360000,1919.28,1919.28,1918.25,1918.28,31.04684
1787097420000,1918.28,1918.49,1918.28,1918.48,35.95823
1787097480000,1918.48,1918.48,1917.26,1917.26,34.54387
1787097540000,1917.26,1917.85,1917.26,1917.85,37.1903
1787097600000,1917.85,1918.87,1917.85,1918.24,96.19025
1787097660000,1918.24,1918.24,1916.22,1916.22,92.83251
1787097720000,1916.22,1916.5,1915.58,1915.9,51.16824
1787097780000,1915.9,1915.98,1915.02,1915.02,31.87219
1787097840000,1915.02,1915.02,1913.59,1913.59,43.95549
1787097900000,1913.59,1914.01,1912.25,1912.56,228.27889
1787097960000,1912.56,1914.37,1912.11,1914.05,131.78419
1787098020000,1914.05,1914.79,1914.05,1914.79,30.1356
1787098080000,1914.79,1915.59,1914.79,1915.59,28.93651
1787098140000,1915.59,1915.65,1914.35,1914.35,65.16992
1787098200000,1914.35,1914.43,1913.97,1914.03,30.62342
1787098260000,1914.03,1914.12,1912.75,1913.9,117.32285
1787098320000,1913.9,1913.9,1912.91,1913.79,49.8163
1787098380000,1913.79,1914.15,1913.49,1914.12,25.57702
1787098440000,1914.12,1914.13,1913.6,1913.6,29.8956
1787098500000,1913.6,1913.6,1912.33,1912.63,51.02533
1787098560000,1912.63,1914.37,1912.63,1914.37,54.45205
1787098620000,1914.37,1914.72,1914.02,1914.72,5.64308
1787098680000,1914.72,1914.73,1914.11,1914.31,15.1389
1787098740000,1914.31,1914.85,1914.06,1914.85,24.32203
1787098800000,1914.85,1915.5,1914.84,1915.5,12.32888
1787098860000,1915.5,1916.59,1915.1,1916.59,27.82936
1787098920000,1916.59,1919.01,1916.59,1919.01,70.02081
1787098980000,1919.01,1919.29,1917.27,1917.27,53.41124
1787099040000,1917.27,1918.36,1916.37,1917.22,73.53055
1787099100000,1917.22,1917.22,1916.44,1916.68,26.10607
1787099160000,1916.68,1916.8,1916.4,1916.44,10.86389
1787099220000,1916.44,1916.98,1916.22,1916.59,26.28839
1787099280000,1916.59,1916.81,1916.25,1916.25,10.60064
1787099340000,1916.25,1916.63,1916.25,1916.62,5.68265
1787099400000,1916.62,1917.26,1916.16,1917.26,11.75972
1787099460000,1917.26,1918.06,1917.26,1917.96,7.96294
1787099520000,1917.96,1918.06,1917.0,1917.38,21.0799
1787099580000,1917.38,1917.76,1917.06,1917.35,34.51546
1787099640000,1917.35,1917.78,1917.06,1917.33,12.34289
1787099700000,1917.33,1917.33,1917.01,1917.33,56.18286
1787099760000,1917.33,1917.57,1917.12,1917.54,42.67998
1787099820000,1917.54,1917.75,1916.47,1916.89,53.14515
1787099880000,1916.89,1917.39,1916.89,1917.34,31.85136
1787099940000,1917.34,1917.34,1916.66,1916.86,27.76598
1787100000000,1916.86,1916.98,1916.06,1916.36,11.02252
1787100060000,1916.36,1916.41,1915.0,1915.0,27.51489
1787100120000,1915.0,1915.0,1913.86,1914.54,126.06477
1787100180000,1914.54,1914.89,1914.28,1914.89,17.74796
1787100240000,1914.89,1915.03,1914.88,1914.89,13.55057
