ts,o,h,l,c,v
1787095740000,77.14,77.14,77.11,77.11,151.373
1787095800000,77.11,77.12,77.11,77.11,28.4951
1787095860000,77.11,77.12,77.11,77.12,15.4095
1787095920000,77.12,77.14,77.12,77.13,36.8246
1787095980000,77.13,77.15,77.13,77.15,33.3575
1787096040000,77.15,77.19,77.15,77.18,16.5261
1787096100000,77.18,77.19,77.18,77.19,33.6639
1787096160000,77.19,77.22,77.18,77.21,51.2894
1787096220000,77.21,77.22,77.19,77.19,208.3216
1787096280000,77.19,77.19,77.18,77.18,3.2434
1787096340000,77.18,77.19,77.18,77.18,19.8336
1787096400000,77.18,77.19,77.16,77.17,28.3792
1787096460000,77.17,77.18,77.17,77.18,13.5391
1787096520000,77.18,77.22,77.17,77.22,157.6787
1787096580000,77.22,77.23,77.22,77.23,55.9294
1787096640000,77.23,77.24,77.15,77.17,2362.7699
1787096700000,77.17,77.19,77.16,77.16,41.8072
1787096760000,77.16,77.2,77.16,77.19,265.7991
1787096820000,77.19,77.19,77.14,77.14,5.1712
1787096880000,77.14,77.15,77.13,77.15,31.6562
1787096940000,77.15,77.16,77.13,77.13,3.7322
1787097000000,77.13,77.13,77.12,77.12,35.7274
1787097060000,77.12,77.12,77.1,77.1,67.9828
1787097120000,77.1,77.12,77.1,77.11,14.651
1787097180000,77.11,77.12,77.1,77.1,22.412
1787097240000,77.1,77.11,77.1,77.1,12.8284
1787097300000,77.1,77.1,77.09,77.09,4.7185
1787097360000,77.09,77.09,77.07,77.07,39.1044
1787097420000,77.07,77.08,77.07,77.07,23.1455
1787097480000,77.07,77.07,77.05,77.05,1.6389
1787097540000,77.05,77.05,77.04,77.05,57.3501
1787097600000,77.05,77.11,77.05,77.1,107.1726
1787097660000,77.1,77.1,77.03,77.05,2068.8482
1787097720000,77.05,77.06,77.02,77.04,439.9737
1787097780000,77.04,77.04,77.0,77.0,76.1101
1787097840000,77.0,77.0,76.93,76.94,42.4249
1787097900000,76.94,76.96,76.92,76.94,123.5067
1787097960000,76.94,76.97,76.92,76.97,2010.0871
1787098020000,76.97,76.99,76.96,76.98,76.8221
1787098080000,76.98,77.01,76.98,77.01,30.5316
1787098140000,77.01,77.03,76.98,76.98,100.1561
1787098200000,76.98,76.99,76.97,76.97,104.3168
1787098260000,76.97,76.97,76.92,76.94,47.7861
1787098320000,76.94,76.94,76.91,76.91,18.4583
1787098380000,76.91,76.93,76.9,76.93,19.0242
1787098440000,76.93,76.93,76.9,76.9,36.5125
1787098500000,76.9,76.9,76.83,76.84,45.7369
1787098560000,76.84,76.87,76.83,76.87,83.7137
1787098620000,76.87,76.89,76.86,76.89,108.5257
1787098680000,76.89,76.89,76.88,76.89,33.3714
1787098740000,76.89,76.96,76.88,76.94,2036.8962
1787098800000,76.94,76.95,76.93,76.95,77.5122
1787098860000,76.95,76.96,76.94,76.96,9.7948
1787098920000,76.96,77.03,76.96,77.02,110.2448
1787098980000,77.02,77.03,76.98,76.98,30.0012
1787099040000,76.98,77.0,76.95,76.99,75.4037
1787099100000,76.99,76.99,76.93,76.95,50.9619
1787099160000,76.95,76.95,76.94,76.95,30.913
1787099220000,76.95,76.96,76.94,76.94,23.2184
1787099280000,76.94,76.95,76.94,76.94,9.0094
1787099340000,76.94,76.96,76.94,76.95,4.4123
1787099400000,76.95,76.99,76.95,76.97,77.8383
1787099460000,76.97,76.99,76.97,76.99,65.2792
1787099520000,76.99,77.0,76.98,76.99,40.9805
1787099580000,76.99,77.02,76.99,76.99,130.0613
1787099640000,76.99,77.01,76.98,76.99,55.7096
1787099700000,76.99,77.0,76.99,76.99,22.884
1787099760000,76.99,77.0,76.98,76.99,38.6655
1787099820000,76.99,77.01,76.97,76.99,167.4662
1787099880000,76.99,77.04,76.99,77.04,21.1161
1787099940000,77.04,77.05,77.04,77.05,15.353
1787100000000,77.05,77.06,77.0,77.01,44.8823
1787100060000,77.01,77.01,76.98,76.98,82.3033
1787100120000,76.98,76.98,76.95,76.95,24.2099
1787100180000,76.95,76.97,76.95,76.97,33.1941
1787100240000,76.97,76.98,76.96,76.97,55.52
1787100300000,76.97,76.98,76.96,76.97,8.29
1787100360000,76.97,77.0,76.97,76.99,66.6084
1787100420000,76.99,77.04,76.99,77.03,84.3222
1787100480000,77.03,77.06,77.03,77.06,74.7596
1787100540000,77.06,77.06,77.04,77.05,26.9745
1787100600000,77.05,77.05,77.0,77.02,207.9269
1787100660000,77.02,77.06,77.02,77.06,121.1813
1787100720000,77.06,77.06,77.03,77.05,31.4934
1787100780000,77.05,77.08,77.05,77.08,22.9998
1787100840000,77.08,77.08,77.05,77.05,39.8226
1787100900000,77.05,77.05,77.05,77.05,11.9593
1787100960000,77.05,77.05,77.02,77.03,16.1464
1787101020000,77.03,77.03,76.98,76.98,91.9879
1787101080000,76.98,76.98,76.95,76.96,89.5952
1787101140000,76.96,76.96,76.92,76.92,66.3508
1787101200000,76.92,76.97,76.89,76.89,924.3806
1787101260000,76.89,76.92,76.88,76.88,17.9443
1787101320000,76.88,76.89,76.86,76.88,46.0803
1787101380000,76.88,76.89,76.86,76.89,254.3378
1787101440000,76.89,76.9,76.87,76.89,21.0991
1787101500000,76.89,76.92,76.88,76.9,35.8599
1787101560000,76.9,77.02,76.9,77.02,198.4532
1787101620000,77.02,77.03,77.0,77.0,23.6021
1787101680000,77.0,77.0,76.98,77.0,22.2595
1787101740000,77.0,77.04,77.0,77.04,72.9336
1787101800000,77.04,77.04,76.95,76.97,722.2176
1787101860000,76.97,77.02,76.97,77.02,30.9505
1787101920000,77.02,77.03,76.99,77.03,51.55
1787101980000,77.03,77.06,77.03,77.05,107.7041
1787102040000,77.05,77.06,76.98,76.98,1572.9435
1787102100000,76.98,76.98,76.96,76.96,449.0238
1787102160000,76.96,76.96,76.92,76.92,15.0218
1787102220000,76.92,76.92,76.9,76.9,50.8847
1787102280000,76.9,76.91,76.86,76.87,39.0792
1787102340000,76.87,76.94,76.87,76.93,49.192
1787102400000,76.93,76.97,76.93,76.97,41.9076
1787102460000,76.97,76.98,76.95,76.96,18.6559
1787102520000,76.96,76.98,76.95,76.96,25.5456
1787102580000,76.96,76.96,76.85,76.85,3489.7269
1787102640000,76.85,76.85,76.79,76.81,78.9124
1787102700000,76.81,76.81,76.73,76.73,374.2768
1787102760000,76.73,76.78,76.73,76.78,165.0197
1787102820000,76.78,76.89,76.78,76.86,1799.5007
1787102880000,76.86,76.86,76.82,76.82,178.7897
1787102940000,76.82,76.84,76.81,76.84,46.3355
1787103000000,76.84,76.86,76.83,76.83,101.3737
1787103060000,76.83,76.83,76.78,76.78,123.9049
1787103120000,76.78,76.81,76.78,76.79,113.9406
1787103180000,76.79,76.82,76.79,76.82,47.48
1787103240000,76.82,76.85,76.82,76.84,35.2084
1787103300000,76.84,76.84,76.78,76.79,276.9659
1787103360000,76.79,76.82,76.78,76.82,66.1325
1787103420000,76.82,76.84,76.8,76.82,175.5762
1787103480000,76.82,76.82,76.78,76.79,18.7102
1787103540000,76.79,76.79,76.78,76.78,36.1511
1787103600000,76.78,76.79,76.77,76.77,65.5808
1787103660000,76.77,76.77,76.75,76.75,5.1392
1787103720000,76.75,76.76,76.75,76.75,52.7184
1787103780000,76.75,76.75,76.72,76.74,82.5089
1787103840000,76.74,76.75,76.73,76.75,66.5098
1787103900000,76.75,76.75,76.74,76.74,12.7848
1787103960000,76.74,76.79,76.74,76.79,1151.2124
1787104020000,76.79,76.79,76.74,76.76,459.4956
1787104080000,76.76,76.76,76.71,76.72,83.0838
1787104140000,76.72,76.75,76.72,76.74,103.0015
1787104200000,76.74,76.75,76.73,76.75,87.4075
1787104260000,76.75,76.77,76.75,76.77,17.6112
1787104320000,76.77,76.8,76.77,76.79,20.0615
1787104380000,76.79,76.83,76.79,76.82,251.3027
1787104440000,76.82,76.82,76.8,76.8,59.6364
1787104500000,76.8,76.85,76.8,76.85,54.6032
1787104560000,76.85,76.85,76.82,76.82,41.4209
1787104620000,76.82,76.82,76.79,76.81,33.1569
1787104680000,76.81,76.81,76.79,76.81,32.0921
1787104740000,76.81,76.81,76.78,76.8,25.3177
1787104800000,76.8,76.82,76.79,76.79,49.3241
1787104860000,76.79,76.79,76.76,76.79,53.6506
1787104920000,76.79,76.79,76.78,76.78,10.7881
1787104980000,76.78,76.79,76.78,76.79,64.6894
1787105040000,76.79,76.8,76.76,76.76,54.4013
1787105100000,76.76,76.76,76.74,76.74,82.3943
1787105160000,76.74,76.77,76.74,76.77,7.9087
