ts,o,h,l,c,v
1787095680000,1.0035,1.0035,1.0024,1.0024,11034.39
1787095740000,1.0024,1.0025,1.0022,1.0025,7531.82
1787095800000,1.0025,1.0025,1.0025,1.0025,443.74
1787095860000,1.0025,1.0025,1.0025,1.0025,3399.54
1787095920000,1.0025,1.0028,1.0025,1.0027,2504.49
1787095980000,1.0027,1.0028,1.0027,1.0028,2000.0
1787096040000,1.0028,1.0029,1.0028,1.0029,2069.01
1787096100000,1.0029,1.0033,1.0029,1.0033,2454.89
1787096160000,1.0033,1.0033,1.0031,1.0031,2389.7
1787096220000,1.0031,1.0033,1.0031,1.0031,88.7
1787096280000,1.0031,1.0031,1.0029,1.0029,58.74
1787096340000,1.0029,1.0029,1.0027,1.0027,564.44
1787096400000,1.0027,1.0027,1.0026,1.0026,149.59
1787096460000,1.0026,1.0026,1.0026,1.0026,0.0
1787096520000,1.0026,1.0026,1.0025,1.0026,746.31
1787096580000,1.0026,1.003,1.0026,1.0029,3712.62
1787096640000,1.0029,1.0029,1.0025,1.0026,4034.25
1787096700000,1.0026,1.0027,1.0024,1.0024,1201.62
1787096760000,1.0024,1.0026,1.0024,1.0026,17185.03
1787096820000,1.0026,1.0026,1.0024,1.0024,771.33
1787096880000,1.0024,1.0024,1.0021,1.0022,1831.21
1787096940000,1.0022,1.0023,1.0022,1.0023,21.0
1787097000000,1.0023,1.0024,1.0023,1.0024,4516.46
1787097060000,1.0024,1.0024,1.0023,1.0023,1793.0
1787097120000,1.0023,1.0023,1.0021,1.0021,2.85
1787097180000,1.0021,1.0021,1.0021,1.0021,0.0
1787097240000,1.0021,1.0021,1.002,1.002,7145.41
1787097300000,1.002,1.002,1.0019,1.0019,4.82
1787097360000,1.0019,1.0019,1.0018,1.0018,68.23
1787097420000,1.0018,1.0018,1.0018,1.0018,0.0
1787097480000,1.0018,1.0018,1.0017,1.0017,1713.85
1787097540000,1.0017,1.0018,1.0017,1.0018,30629.59
1787097600000,1.0018,1.0021,1.0016,1.0016,11289.32
1787097660000,1.0016,1.0016,1.0004,1.0006,137001.36
1787097720000,1.0006,1.0011,1.0006,1.0008,2746.59
1787097780000,1.0008,1.0008,1.0006,1.0006,12461.26
1787097840000,1.0006,1.0006,0.9999,0.9999,2388.09
1787097900000,0.9999,0.9999,0.9998,0.9998,1973.64
1787097960000,0.9998,0.9999,0.9996,0.9999,8774.63
1787098020000,0.9999,1.0002,0.9999,1.0002,221.7
1787098080000,1.0002,1.0006,1.0002,1.0006,811.21
1787098140000,1.0006,1.0009,1.0002,1.0002,5069.99
1787098200000,1.0002,1.0002,0.9997,0.9998,7994.44
1787098260000,0.9998,0.9998,0.9992,0.9992,2839.6
1787098320000,0.9992,0.9992,0.9986,0.9986,4548.91
1787098380000,0.9986,0.9988,0.9986,0.9987,7093.42
1787098440000,0.9987,0.9988,0.9985,0.9985,7985.53
1787098500000,0.9985,0.9985,0.9974,0.9974,65063.28
1787098560000,0.9974,0.998,0.9974,0.9979,23615.19
1787098620000,0.9979,0.9981,0.9975,0.9979,15928.77
1787098680000,0.9979,0.998,0.9974,0.9979,46990.74
1787098740000,0.9979,0.998,0.9977,0.998,32017.9
1787098800000,0.998,0.9983,0.998,0.9983,11518.66
1787098860000,0.9983,0.9983,0.998,0.9981,4385.22
1787098920000,0.9981,0.9993,0.9981,0.9993,28981.14
1787098980000,0.9993,0.9993,0.9985,0.9985,13406.86
1787099040000,0.9985,0.9985,0.9977,0.9977,9147.31
1787099100000,0.9977,0.9978,0.9975,0.9976,15795.89
1787099160000,0.9976,0.9976,0.9972,0.9973,20599.51
1787099220000,0.9973,0.9974,0.9971,0.9971,6168.58
1787099280000,0.9971,0.9972,0.9971,0.9972,76.47
1787099340000,0.9972,0.9974,0.9972,0.9973,6362.93
1787099400000,0.9973,0.9974,0.9971,0.9972,93026.46
1787099460000,0.9972,0.9974,0.9972,0.9973,431.71
1787099520000,0.9973,0.9976,0.9972,0.9975,26748.72
1787099580000,0.9975,0.9977,0.9974,0.9975,38487.22
1787099640000,0.9975,0.9978,0.9974,0.9974,12205.42
1787099700000,0.9974,0.9977,0.9974,0.9976,7813.57
1787099760000,0.9976,0.9977,0.9973,0.9974,7060.01
1787099820000,0.9974,0.9977,0.9973,0.9977,24562.69
1787099880000,0.9977,0.9982,0.9977,0.9982,3004.03
1787099940000,0.9982,0.9982,0.9981,0.9981,2224.86
1787100000000,0.9981,0.9982,0.9977,0.9977,18475.16
1787100060000,0.9977,0.9978,0.9973,0.9973,13930.22
1787100120000,0.9973,0.9973,0.9971,0.9973,12839.94
1787100180000,0.9973,0.9974,0.9972,0.9974,20658.16
1787100240000,0.9974,0.9978,0.9974,0.9977,43936.57
1787100300000,0.9977,0.9977,0.9972,0.9973,20151.61
1787100360000,0.9973,0.9975,0.9972,0.9974,27099.57
1787100420000,0.9974,0.9979,0.9974,0.9978,24462.75
1787100480000,0.9978,0.9983,0.9978,0.9982,9177.52
1787100540000,0.9982,0.9982,0.9978,0.9979,105.23
1787100600000,0.9979,0.9979,0.9972,0.9978,12809.46
1787100660000,0.9978,0.9982,0.9975,0.9979,21152.15
1787100720000,0.9979,0.998,0.9979,0.998,1785.87
1787100780000,0.998,0.9982,0.9979,0.9981,550.15
1787100840000,0.9981,0.9983,0.998,0.998,6972.21
1787100900000,0.998,0.998,0.9979,0.9979,25.08
1787100960000,0.9979,0.998,0.9976,0.9977,7852.26
1787101020000,0.9977,0.9977,0.9974,0.9974,6639.98
1787101080000,0.9974,0.9975,0.997,0.997,10286.71
1787101140000,0.997,0.997,0.9963,0.9964,6631.04
1787101200000,0.9964,0.9969,0.9961,0.9961,45746.98
1787101260000,0.9961,0.9965,0.996,0.9963,16504.88
1787101320000,0.9963,0.9963,0.996,0.996,576.52
1787101380000,0.996,0.9966,0.996,0.9966,5228.64
1787101440000,0.9966,0.9968,0.9966,0.9968,14545.21
1787101500000,0.9968,0.9969,0.9967,0.9969,7466.95
1787101560000,0.9969,0.998,0.9969,0.998,22790.35
1787101620000,0.998,0.9984,0.998,0.9982,4172.85
1787101680000,0.9982,0.9983,0.9981,0.9983,731.9
1787101740000,0.9983,0.9991,0.9983,0.9991,350.64
1787101800000,0.9991,0.9993,0.9989,0.9989,5285.39
1787101860000,0.9989,0.9993,0.9988,0.9993,3196.62
1787101920000,0.9993,0.9996,0.9991,0.9996,17204.75
1787101980000,0.9996,1.0003,0.9996,1.0003,8409.59
1787102040000,1.0003,1.0003,0.9992,0.9994,172654.53
1787102100000,0.9994,0.9994,0.9989,0.9989,302.26
1787102160000,0.9989,0.9989,0.9988,0.9988,7.15
1787102220000,0.9988,0.9988,0.9986,0.9986,1259.03
1787102280000,0.9986,0.9986,0.9979,0.9984,34775.26
1787102340000,0.9984,0.9988,0.9984,0.9988,10402.82
1787102400000,0.9988,0.9989,0.9988,0.9989,2511.67
1787102460000,0.9989,0.999,0.9987,0.9988,19637.3
1787102520000,0.9988,0.9989,0.9988,0.9988,12383.5
1787102580000,0.9988,0.9988,0.9982,0.9982,23789.02
1787102640000,0.9982,0.9982,0.9981,0.9982,2628.94
1787102700000,0.9982,0.9982,0.9978,0.9978,8624.57
1787102760000,0.9978,0.9982,0.9978,0.998,6056.94
1787102820000,0.998,0.9992,0.998,0.9988,87785.98
1787102880000,0.9988,0.9988,0.9985,0.9985,7957.79
1787102940000,0.9985,0.9985,0.9983,0.9984,1766.69
1787103000000,0.9984,0.9985,0.9984,0.9985,3877.94
1787103060000,0.9985,0.9985,0.9981,0.9981,5358.3
1787103120000,0.9981,0.9982,0.9981,0.9982,838.81
1787103180000,0.9982,0.9984,0.9981,0.9984,8950.27
1787103240000,0.9984,0.9986,0.9984,0.9986,3205.92
1787103300000,0.9986,0.9986,0.9985,0.9985,3698.77
1787103360000,0.9985,0.9988,0.9985,0.9988,10825.19
1787103420000,0.9988,0.9989,0.9988,0.9988,3202.08
1787103480000,0.9988,0.9988,0.9988,0.9988,1504.68
1787103540000,0.9988,0.9988,0.9987,0.9988,2189.93
1787103600000,0.9988,0.9989,0.9988,0.9988,1101.21
1787103660000,0.9988,0.9988,0.9987,0.9987,191.55
1787103720000,0.9987,0.9987,0.9985,0.9985,9093.78
1787103780000,0.9985,0.9985,0.9981,0.9983,8396.5
1787103840000,0.9983,0.9986,0.9983,0.9986,2296.03
